"from","to","edge","weight_mean","weight_lQ","weight_uQ","pct_disc_mean","pct_disc_lQ","pct_disc_uQ","pct_breach_mean","pct_breach_lQ","pct_breach_uQ"
"Arrival","TRIAGE","Arrival~TRIAGE",204.516666666667,171.75,241.5,0.916106240628516,0.887910112359551,0.944024844720497,0.157538500431199,0.0944966705836271,0.194256916996047
"TRIAGE","Discharged","TRIAGE~Discharged",135.516666666667,104.75,170.75,1,1,1,0.0728540496277415,0.0224638584247258,0.09763007692944
"Arrival","RAT","Arrival~RAT",98.6,80.75,111.25,0.676511202722848,0.632183908045977,0.718999520919834,0.409192508425708,0.361340733742718,0.477975326560232
"RAT","MAJORS","RAT~MAJORS",94.75,89.75,102.5,0.62234817316819,0.575382538253825,0.663139287098024,0.508262857905575,0.450735294117647,0.580952380952381
"MAJORS","Discharged","MAJORS~Discharged",61.3833333333333,56,67,0.998734158986175,1,1,0.367644629260812,0.278920807453416,0.437973484848485
"UTC","Discharged","UTC~Discharged",57.8333333333333,30,50.5,1,1,1,0.159161631699126,0.0909363745498199,0.2109375
"TRIAGE","UTC","TRIAGE~UTC",44.45,15.75,35.75,0.835658181124434,0.787757437070938,0.911962527023781,0.312966261402856,0.180068460245016,0.43719806763285
"MAJORS","Admitted","MAJORS~Admitted",40.5666666666667,35.75,46,0,0,0,0.690567007475998,0.614947552447553,0.794110212335693
"TRIAGE","RAT","TRIAGE~RAT",33.35,15.75,49,0.717308303950327,0.655689548546691,0.779279279279279,0.442720384981669,0.339015151515151,0.525760135135135
"RAT","UTC","RAT~UTC",15.2166666666667,9.75,18,0.900230262179437,0.85,1,0.177120905386514,0.1,0.25
"RAT","TRIAGE","RAT~TRIAGE",14.0833333333333,9.75,17,0.902896075872357,0.857142857142857,1,0.219900367672656,0.111111111111111,0.3125
"Arrival","RESUS","Arrival~RESUS",11.3,9,13.25,0.278276694710518,0.181818181818182,0.358455882352941,0.453454161579162,0.333333333333333,0.5875
"Arrival","UTC","Arrival~UTC",9.98305084745763,4,11.5,0.924074147107493,0.875,1,0.0637323017091321,0,0.104054054054054
"RESUS","Admitted","RESUS~Admitted",9.05,7.75,11,0,0,0,0.526636442261442,0.4,0.666666666666667
"RESUS","MAJORS","RESUS~MAJORS",8.89830508474576,7,11,0.359856867957566,0.2,0.44949494949495,0.595928575689294,0.5,0.763888888888889
"RAT","Discharged","RAT~Discharged",8.45,5,11,0.996111111111111,1,1,0.0159631572131572,0,0
"UTC","Admitted","UTC~Admitted",6.61016949152542,3,8.5,0,0,0,0.570963139668865,0.352941176470588,0.775
"TRIAGE","MAJORS","TRIAGE~MAJORS",5.35087719298246,3,7,0.741249841776158,0.555555555555556,1,0.527107541581226,0.333333333333333,0.75
"UTC","TRIAGE","UTC~TRIAGE",5.25581395348837,2,6,0.904745688177916,0.884868421052632,1,0.264124779040164,0,0.45
"TAF","Discharged","TAF~Discharged",5.08474576271186,4,7,1,1,1,0.744585687382298,0.645833333333333,1
"RAT","RESUS","RAT~RESUS",4.88135593220339,4,6,0.219231051434441,0,0.366666666666667,0.59549123193191,0.414285714285714,0.775
"MAJORS","TAF","MAJORS~TAF",4.35087719298246,3,6,0.969235588972431,1,1,0.806584643426749,0.714285714285714,1
"Arrival","MAJORS","Arrival~MAJORS",3.98181818181818,2,5,0.750670995670996,0.585714285714286,1,0.368073593073593,0.0833333333333333,0.5
"MAJORS","RAT","MAJORS~RAT",3.94545454545455,2,5,0.626172766627312,0.354166666666667,1,0.445057064147973,0.225,0.6125
"TRIAGE","Admitted","TRIAGE~Admitted",3.3921568627451,2,4,0,0,0,0.354951475539711,0,0.55
"MAJORS","RESUS","MAJORS~RESUS",2.70909090909091,2,3,0.142121212121212,0,0.333333333333333,0.836969696969697,0.666666666666667,1
"RESUS","Discharged","RESUS~Discharged",2.54716981132075,2,3,0.99622641509434,1,1,0.255211141060198,0,0.4
"UTC","MAJORS","UTC~MAJORS",2.3695652173913,1,3,0.605434782608696,0.333333333333333,1,0.584782608695652,0,1
"RAT","Admitted","RAT~Admitted",2.15217391304348,1,2,0,0,0,0.0597826086956522,0,0
"TRIAGE","RESUS","TRIAGE~RESUS",2.11111111111111,1,3,0.399365079365079,0,0.666666666666667,0.575820105820106,0,1
"MAJORS","UTC","MAJORS~UTC",1.95652173913043,1,2,0.777173913043478,0.541666666666667,1,0.278985507246377,0,0.5
"UTC","RAT","UTC~RAT",1.75,1,2,0.825,0.875,1,0.415625,0,1
"RAT","TAF","RAT~TAF",1.73809523809524,1,2,0.988095238095238,1,1,0.567460317460317,0,1
"MAJORS","TRIAGE","MAJORS~TRIAGE",1.58823529411765,1,2,0.848039215686274,0.75,1,0.372549019607843,0,1
"Arrival","Discharged","Arrival~Discharged",1.5,1,1.75,1,1,1,0.0555555555555556,0,0
"RESUS","RAT","RESUS~RAT",1.22222222222222,1,1,0.555555555555556,0,1,0.555555555555556,0,1
"RESUS","TRIAGE","RESUS~TRIAGE",1.2,1,1,1,1,1,0.4,0,1
"Arrival","TAF","Arrival~TAF",1.16666666666667,1,1,0.833333333333333,1,1,0.5,0,1
"TAF","MAJORS","TAF~MAJORS",1.11111111111111,1,1,0.805555555555556,1,1,0.861111111111111,1,1
"Arrival","Admitted","Arrival~Admitted",1,1,1,0,0,0,0,0,0
"RESUS","TAF","RESUS~TAF",1,1,1,1,1,1,1,1,1
"RESUS","UTC","RESUS~UTC",1,1,1,1,1,1,0.5,0,1
"TAF","Admitted","TAF~Admitted",1,1,1,0,0,0,1,1,1
"TAF","RAT","TAF~RAT",1,1,1,0.714285714285714,0.5,1,0.857142857142857,1,1
"TAF","RESUS","TAF~RESUS",1,1,1,1,1,1,1,1,1
"TAF","TRIAGE","TAF~TRIAGE",1,1,1,1,1,1,0.333333333333333,0,0.5
"TAF","UTC","TAF~UTC",1,1,1,1,1,1,0,0,0
"TRIAGE","TAF","TRIAGE~TAF",1,1,1,1,1,1,0.5,0,1
"UTC","RESUS","UTC~RESUS",1,1,1,0.625,0,1,0.625,0,1
"UTC","TAF","UTC~TAF",1,1,1,1,1,1,0.25,0,0.25
