"battery_code","N"
"AKI",23689
"COAT",25458
"ELB",69885
"CRP",338755
"MG",192228
"FBC",389085
"ELU",52908
"BON",38499
"PTH",2552
"URNC",53446
"URNM",40532
"CAL",450
"TISC",2405
"URSP",812
"INR",13431
"ELL",12988
"FLUM",2380
"BC",40738
"FU21",4520
"SPUT",6656
"DIFF",10458
"PENT",9455
"GINP",6151
"MRSC",13545
"STS",3855
"HIV",14936
"HBV",3575
"VITD",6307
"HCV",3907
"LPF",11142
"LFT",77045
"FBCC",8351
"FERR",22298
"IRON",7460
"TPT",51686
"THY",16757
"RESP",8015
"WDCM",2423
"WDC",8538
"GYNC",4810
"GYNM",15
"CANS",36
"TISM",2056
"LH",1072
"CORT",7429
"PITP",320
"PRL",989
"GH",616
"FSH",1132
"IGF",814
"BFOL",11931
"RET",3390
"FXI",132
"F8",193
"CSFM",2484
"NHNN",958
"PHTB",292
"TEST",895
"BNP",15928
"AMY",25169
"CK",7613
"SAVE",401
"NDON",109
"CKMB",65
"RSPC",1489
"SPCO",5268
"UQLS",133
"ENT",1418
"RN",5209
"GENT",2747
"FLD",553
"MZN",662
"PES",2840
"UA",9901
"UOSM",5380
"OCP",1102
"UNAK",3594
"OSM",6091
"FLUC",3386
"HMCO",3100
"FLCC",480
"DDIT",34718
"PSA",1047
"CNSP",180
"MISC",187
"RANC",799
"ESR",14990
"ANAI",4415
"ANCA",3772
"HEVP",388
"HEV",425
"HAVI",573
"CMVS",1254
"EBVS",1245
"AST",1788
"GT",2152
"LAC",935
"LD",25654
"BF",2163
"UUEL",726
"FIB",29536
"GENG",3561
"GENM",3647
"ECC",148231
"CSNF",114886
"FLCR",318
"CALB",745
"ALBR",725
"CCEL",837
"NALB",874
"NCTP",862
"XCOV",16631
"ECL",185593
"EVD",7
"ALDO",304
"AMH",42
"FCRY",65
"HBA",6592
"TIPC",909
"LMWH",403
"HHCM",186
"VWHS",369
"VWAG",52
"VWFC",70
"HBAG",767
"URWM",64
"CR",7839
"ENAB",1513
"DNAE",979
"V16S",521
"TELC",598
"CSFC",1779
"TSH",7376
"ELM",31681
"U",57296
"CA",1287
"P",3282
"FLTY",737
"FCR",593
"RA",1194
"EB",1007
"OCB",692
"CSFL",621
"NLAC",259
"PLAC",146
"TP",727
"CU",196
"CERU",418
"CIGG",288
"CYCA",4021
"P1P",38
"CYSC",109
"CTX",19
"ZNS",106
"PMP",139
"CRQ",3132
"CGAD",36
"NSAV",913
"GAD",300
"SYSC",5
"NEUR",594
"VKCA",458
"NGLY",102
"CSFQ",823
"NCBG",713
"SCA",11
"NMOD",221
"HSPS",4
"THCY",469
"PMMA",308
"MOG",76
"HTLV",105
"CIGM",169
"VITE",155
"DHS",88
"SHBG",93
"AND",129
"REN",272
"LCM",185
"FT3",838
"FT4",937
"ACCR",157
"POMP",15
"NMUK",61
"AMM",1273
"CBZB",171
"MPRL",88
"S100",93
"1433",95
"CLDH",379
"CVKC",67
"CNMD",162
"NCOV",49492
"BIC",1184
"PGB",41
"LTG",311
"CARN",82
"VPA",270
"UOA",107
"GLU",11513
"AMIN",177
"LAP",58
"IFE",1080
"IGS",3131
"CZP",25
"FELA",184
"LEV",532
"CLB",144
"ACTH",305
"OES",286
"PROG",123
"LI",337
"2SEN",3
"SEND",23
"MORE",1
"GENS",28
"VMA",19
"CCOV",1068
"CBZ",128
"ZCOV",147
"HOXC",52
"TPM",88
"ITT2",2
"ITT0",16
"AHP",852
"ITT1",16
"GL15",2
"ITT3",16
"IBP3",7
"PITT",7
"ITT9",16
"ITT6",16
"GL25",2
"GL10",2
"VPAB",206
"LY30",4
"LY35",4
"LY15",4
"LSYN",4
"LY10",4
"LY20",4
"LY25",4
"LY40",4
"BRV",30
"HDL",58
"CGOS",766
"UTET",4
"INS",191
"HES",492
"LUP",1535
"LYME",259
"METS",214
"UMET",118
"CBZE",51
"ESL",22
"RTOX",120
"SIHM",77
"RHIL",378
"NEVS",1983
"SWAP",599
"BMTP",4698
"BM",855
"H6VL",209
"SCRX",250
"KSVL",37
"RPAR",275
"FUNG",1600
"TOXO",249
"PHT",1553
"NMDA",412
"DPPX",115
"GLAB",84
"TTG",647
"LIPA",562
"B2A",1579
"UMG",16
"UCAL",112
"CCP",712
"SFLC",1956
"LCFA",64
"DRVT",47
"COMP",1722
"ACA",1588
"MIT",531
"TOX",244
"UBAP",5
"OADS",1738
"UPOR",48
"HBVL",339
"IGL5",49
"PBB",50
"CD19",472
"FOB",127
"24H",172
"PSTE",8
"WCE",39
"UMUC",4
"VACL",3
"VB12",408
"UPRT",2744
"IGSC",137
"SMM",612
"NACR",162
"UBJP",731
"INT",51
"HCVL",552
"BB1",120
"SIGG",365
"HDV",53
"HAVS",97
"CHOL",10964
"PNAB",33
"IGE",264
"TTR",12
"VEGF",104
"C1ES",56
"REBV",65
"SACE",755
"CACE",90
"MITC",11
"SC12",8
"DYT1",4
"TMTT",365
"GBP",12
"TBQ4",755
"CLOZ",55
"FUNM",46
"DERM",46
"HCG",921
"MYAB",124
"UALB",360
"3OHB",94
"SPUM",305
"ROS",4240
"BKVL",197
"TEIL",62
"BKVP",196
"AFBM",2664
"AFBC",2796
"FUN7",451
"TELH",3160
"EYEC",276
"HCAG",289
"FII",204
"THSC",175
"XBDG",2438
"SGAL",1931
"MPCP",116
"FLCB",118
"NHSC",66
"FPR",522
"HHCO",696
"NCON",292
"MTX",3209
"UAA",11
"NA",3944
"STOR",33
"POR",22
"TBPC",533
"TAC",1396
"SIRO",153
"TRIG",13564
"CSFP",833
"GCOV",521
"STG",347
"CRAG",340
"MFLM",633
"K",23124
"TOXF",13
"KSVP",49
"CIGA",1
"MEAP",42
"WCE1",19
"PNAG",979
"LEGU",1251
"NIAT",87
"GBM",380
"LSUB",577
"TPMT",230
"DIM",11
"C125",542
"HMTC",791
"HBC",271
"TFTP",29
"FCAL",322
"VANC",266
"LKM",283
"CRPS",1809
"ELBB",852
"ELUB",392
"CRS",628
"NNWS",1203
"BCPA",1069
"JAK2",66
"ASP",189
"BACD",635
"ROSR",77
"AFBR",92
"CPLT",315
"CGLU",102
"AMIK",742
"HAP",1134
"LEI",42
"CRYO",159
"MPX1",48
"HIVL",490
"LPCR",17
"MSP",15
"SCUL",34
"UPH",64
"AFP",705
"CBIL",1117
"UPHM",10
"FAMY",269
"CPEP",152
"SFOL",381
"REGS",336
"PVL",63
"HPIA",65
"FTP",649
"FLDH",603
"TRYP",244
"DIG",869
"CDNK",157
"CSFH",349
"URNA",311
"PPLP",88
"ATPC",179
"ELBC",40
"HBS",259
"ALPI",40
"ALB",312
"CHCG",8
"CPAP",2
"CAFP",10
"PAP",4
"RCAM",105
"PHLE",49
"FLAV",70
"ALPH",54
"AT",314
"FGLU",361
"MPP",18
"JCVP",139
"NMAG",37
"GAB1",185
"VZGC",89
"IGD",58
"FLA",15
"MRAP",10
"ISAV",145
"ASR",1102
"IPF",421
"ST",126
"GLMA",112
"EBVM",632
"FAHR",1
"FBCA",19177
"VGCC",11
"NSEN",7
"G6PD",600
"MITN",7
"PTHY",2
"C199",399
"CEA",424
"FELU",20
"MYCR",152
"ITRL",82
"FXII",101
"FIX",127
"FALB",460
"APIX",90
"MPL",705
"ADVP",16
"CSFI",3
"BIL",1645
"GFAB",3
"HEAG",53
"HGM",22
"VITA",85
"MISL",8
"VSCO",292
"RFLU",4741
"RIFL",28
"VZVS",354
"MOXL",3
"UURE",16
"AGX",251
"PARV",299
"FEFE",180
"PTAU",93
"TRCB",29
"NNIS",283
"ALT",3305
"SPPA",69
"UPES",125
"NSUK",4
"MGM",18
"MGC",34
"PCET",3111
"CMVR",14
"THEO",248
"RETC",51
"A13A",174
"RAL",16
"AA",125
"CP13",956
"RHTL",29
"FVL",30
"PGM",10
"IABT",44
"BSUL",27
"MANG",13
"UNCR",12
"BRMM",161
"BRMC",179
"B2M",423
"TRCA",142
"SY30",88
"SY0",84
"SY60",83
"UCAT",94
"MENP",71
"PPCR",59
"CGNT",991
"ASO",149
"CGN",4
"FVII",85
"FV",90
"FX",132
"GFR",29834
"C153",98
"ANBS",216
"SSOL",67
"HES2",48
"BCR",27
"SCDY",61
"SCDX",66
"LBN",401
"RBP",26
"PAN",26
"WPCR",11
"CSFG",18
"SAL",504
"UHCG",20
"CADS",112
"PBSI",190
"NHIC",34
"BORD",15
"IA2",42
"POOH",354
"PMAT",381
"UCOP",27
"BRUS",74
"CXI",31
"RICK",11
"LEPT",34
"INST",1
"HIRG",46
"HIV2",31
"HBMS",16
"HIVK",6
"RUBI",21
"CENT",21
"CPCR",15
"GF",161
"G6Q",37
"SFC",1287
"CNEU",59
"BJPQ",78
"XANT",158
"RMUM",134
"TRAB",226
"HAVM",95
"C4",100
"C3",134
"V18S",120
"EBVI",22
"RAS",129
"FAER",87
"EYEM",32
"IGA",96
"AT3",117
"WORM",2
"MISB",56
"THG",256
"CMOD",22
"CLA",80
"AQ4",71
"C1QR",25
"MYO",32
"CLCM",3
"MUS",3
"MUSK",31
"GENH",13
"FVPA",29
"HESM",117
"INFA",25
"NR",28
"MEAS",20
"HIST",22
"CYS",21
"ZIG0",16
"ZIG6",16
"ZIG3",16
"ZIG9",16
"ZIG1",16
"ZIGP",6
"HIRI",12
"ACHR",3
"SCH",80
"ETH",104
"RHSV",27
"HBSS",73
"HIVC",222
"HIVP",22
"POLG",3
"HIBM",1
"ITL2",3
"ITL0",3
"ITL1",3
"ITL4",2
"ITL5",2
"ITL7",2
"ITL6",3
"ITL9",3
"ITL3",3
"TINF",8
"JCM",32
"PSF",61
"PC",76
"HBVQ",3
"ALP",177
"ELF",55
"FTG",138
"FIBA",43
"CCR",14
"CL",388
"PB",139
"VGB",2
"ACGH",5
"HCVG",33
"RMEA",26
"BETH",6
"OPLT",213
"FCHO",44
"PRPE",52
"LUPR",63
"HDVP",22
"ACAN",16
"B12F",27
"VRE",17
"UCYS",1
"RHHV",28
"CSPR",100
"SAA",15
"HSVS",45
"FAH",1
"ZINC",117
"SE",77
"HERP",1
"GUMP",50
"NGCC",20
"CMVA",35
"NRXN",5
"DNAT",9
"RLYM",58
"RSYP",26
"NORP",336
"KDNA",7
"TGN",20
"ADAA",19
"ADAL",22
"UURA",20
"TFR",34
"HANT",2
"EPOU",107
"NRCP",124
"LOWV",1
"CMPG",1
"DMPK",2
"INFL",17
"BIOT",28
"NEFA",35
"MISM",3
"UCAN",6
"HITP",1
"SOCB",207
"COCB",109
"MTM2",9
"PNHR",45
"TVTE",13
"CHAL",13
"USAD",8
"USP",14
"FLUT",203
"TT",18
"RUBM",2
"RUBS",11
"RINC",6
"VZVI",2
"MUSD",1
"CPTE",14
"MAM",18
"MID",8
"CYCL",17
"FTB",40
"VOOH",4
"DRUG",5
"DHC",12
"HBAM",3
"FAAT",7
"UPO4",122
"MYPA",5
"FSHD",5
"PVIS",94
"RADV",7
"EARC",18
"RFN",7
"FGF",2
"XHIA",7
"TRYM",1
"TCPC",6
"TRYC",2
"OVAA",1
"CAC",40
"HYD",13
"PFA",46
"RHEV",52
"GG0",2
"MEL",10
"CHGR",12
"ATA",1
"WCOQ",9
"SC17",7
"FXN",2
"CDG",23
"CRZ",16
"UGLU",24
"RIVA",65
"CANV",3
"FBCE",25
"SMSP",105
"UCL",33
"UAAS",11
"FPB",4
"CAMS",8
"UMMA",1
"GGON",4
"ENDA",29
"VZVM",2
"PDD",2
"CFER",13
"GON",3
"RRUB",6
"ABGA",8
"CESD",8
"INIB",10
"PGB3",5
"RHAV",8
"FTD",17
"AP50",3
"HTT",6
"GAB2",9
"GAB3",18
"REVM",1
"AS",14
"UAS",3
"UHG",3
"UPB",4
"HG",11
"THAL",7
"PLAG",15
"AAP",9
"HNPM",2
"DPD",33
"ENTR",1
"HEP",9
"DEM",8
"AA1",8
"NCOP",229
"CCAG",13
"CYC",5
"FTDS",2
"NMIS",3
"MFLU",27
"FLTG",16
"C1EF",8
"GES",1
"UCOR",35
"LEAD",24
"UZN",1
"FPHT",13
"PRNP",6
"GPU",25
"URED",12
"SWET",1
"C1Q",1
"XA",1
"UHS",6
"OPA1",1
"CD",4
"ALU",2
"LEB",3
"CMVI",3
"USNE",3
"IOD",4
"BCB",6
"IGH",1
"ZGG0",1
"GG12",1
"ZGG5",1
"GG60",1
"LR60",3
"GG18",1
"ZGG6",1
"LR20",3
"GG15",1
"LR0",3
"GG30",1
"PGG",1
"GG90",1
"ZGG3",1
"ZGG8",1
"ZGG1",1
"ZGG9",1
"ZGG2",1
"INSG",4
"HS3B",1
"FAFP",5
"UAMY",10
"C5MT",12
"UHIA",23
"F13C",14
"ANAB",4
"HSCO",7
"AGAL",23
"PK",5
"EMA",7
"CAD",1
"APPM",1
"IPFC",7
"GUAN",96
"EARM",3
"FHCG",1
"TOXC",29
"DIF",1
"THSW",5
"PRK2",1
"RECV",3
"ACYL",7
"ENVT",3
"CH10",7
"BABE",30
"FCEA",5
"ANAS",4
"COSA",3719
"GTI0",5
"GTI3",5
"GTI9",5
"GTI6",5
"GTI1",5
"FMR2",5
"AMOE",67
"ATAG",13
"HPV",2
"COBA",2
"CHRO",5
"NEWB",6
"EC",1250
"COCC",2
"CMVP",48
"USUL",4
"P18S",6
"FAS",8
"FDB",4
"GT12",20
"GT60",20
"GT0",17
"SYH3",3
"SYH0",6
"SYH6",3
"CNFL",166
"MERS",6
"RPAP",10
"NUCL",9
"NNIM",2
"DIAB",114
"PRM",1
"AVAB",4
"GUS",1
"GOID",1
"HYDG",4
"PFIX",4
"RCOV",93
"MPSI",1
"VORL",46
"SAS",16
"BOR",6
"FANC",12
"PACO",1
"HY11",1
"NR5A",1
"TPGE",48
"GH90",4
"ZLH1",8
"GHG0",4
"ZLH9",8
"ZLH3",8
"ZLH0",8
"GH12",4
"GH30",4
"ZLH6",8
"GH60",4
"NAG",1
"HESP",3
"CATS",25
"INAB",19
"ACOV",43
"1COV",279
"THSR",15
"MGP",3
"PSFN",25
"GIH",3
"SCC",4
"RHBV",1
"MANO",3
"UPOQ",6
"RTXP",116
"URCP",9
"FOQ",9
"HMGC",15
"LMIC",3
"HCVP",1
"DRPL",1
"KCNA",1
"VIRC",4
"GSDS",1
"FRUC",44
"NCYK",698
"MDNA",13
"SAH",4
"PHS6",2
"CMT1",1
"DHMN",1
"CMT2",1
"MITL",3
"CMTM",1
"GJB1",1
"CSFA",24
"PCAG",6
"HB57",23
"ADRA",15
"CPE",2
"PSEU",1130
"FOND",2
"NBTT",3
"DHR",2
"NMNS",34
"SULP",10
"CPLP",8
"MUSL",8
"ELBL",3
"ABA",7
"NOTC",6
"FABR",3
"SERP",7
"MBL",6
"VLT",5
"UTHY",1
"GABA",7
"ELCM",909
"ECCN",320
"FNB",3
"CYTO",8
"CAND",1
"FCBZ",1
"ABG",49264
"GCHS",2
"ABCD",1
"LIVI",48
"DHT",2
"BFG3",12
"GSDO",1
"TBS",6
"GCT",21
"MPCR",4
"POSL",58
"NTX",1
"CHES",1
"HEIN",1
"BFG4",10
"APTT",9
"RHDU",1
"BPH",1
"ITU",1
"UBG",4
"PCAL",2414
"UBIL",4
"LCUL",3
"BB2",4
"MTHF",3
"UCIT",1
"ZIGF",14
"ZIGW",15
"ZIG2",16
"BRA",1
"AZ1",40
"SCLI",17
"CGTV",1
"VBG",21104
"WHIP",1
"OPAC",1
"HES8",1
"FPOR",4
"PHA",7
"FECA",2
"AGA",1
"B2IG",1
"HNSS",1
"P3P",1
"EPO",10
"FIL",12
"TRIC",5
"CHIT",3
"HDVL",9
"B12E",2
"DSDN",347
"UPBG",5
"AMI",4
"TOBL",1
"OLAN",3
"AFX",3
"PAIN",1
"TGB",2
"G1P",1
"ELC",9
"UGAG",3
"FSUG",1
"AEBV",1
"EBNA",1
"VGKC",2
"APCM",2
"SAVB",1
"UCRQ",1
"CTEL",1
"FEBF",1
"NEWC",4
"SCDO",1
"SYPS",2
"25P",1
"STP",4
"PYGM",1
"HCOV",183
"HTPI",4
"NFL",2
"CBG",773
"HOMO",1
"MLD",1
"FSF2",5
"HBVC",1
"LGV",3
"UCD",1
"GAST",4
"PRK1",1
"GCM1",1
"PRK3",1
"SCOV",5
"EDOX",5
"USSA",3
"USSP",3
"BFG5",1
"SSAV",2
"XSTA",4
"BART",2
"APB",5
"AEP",1
"COLL",1
"BAB",1
"CACR",1
"THGR",7
"TBC",1
"SCHC",2
"CAA",1
"CAAR",1
"CYFL",3
"UCR",17
"BRUR",1
"VWFM",4
"LHEP",12
"BMCS",6
"ADAM",1
"CNFH",8
"FLBC",1
"BSER",1
"RSPM",1
"UNK",1404
"HIA",1
"SCIT",16
"UFE",1
"HEXA",4
"CANC",2
"HSGA",1
"LEGC",3
"TR0",1
"P2Y",11
"PQC",1
"GLGG",1
"PPUR",4
"UPUR",4
"COAG",2
"CDT",8
"DIPT",1
"GM1",2
"ESM",2
"PTVD",4
"EDTA",1
"LPA",5
"CKIS",1
"F13I",4
"DOC",4
"CVID",2
"HYDM",2
"CGEN",1
"CSGD",6
"HBRT",2
"LDHC",1
"NABS",4
"PEDTA",3
"TFUN",3
"QFIT",2
"SST",3
"VEDO",2
"FLUL",15
"NEIM",3
"WCE4",2
"CSYM",2
"GAUC",4
"DANA",1
"HRCE",1
"P16S",1
"GNF",1
"HESL",1
"LFTP",2
"12A3",1
"PRP1",14
"HAAT",1
"LPS",1
"PROT",1
"THWG",1
"MENG",1
"PRPA",1
"ADS1",4
"HNGS",1
"OXAL",1
"UOXA",2
"AMIO",1
"MP",1
"ASUB",1
"TVN",1
"MGR",1
"AR",1
